#(id,from,to,speed,planTime)
(100, 1, 3, 3, 1)
(101, 1, 4, 3, 1)
(102, 1, 3, 3, 1)
(103, 1, 4, 3, 1)
(104, 1, 3, 3, 1)
(105, 1, 2, 3, 1)
(106, 1, 2, 3, 1)
(107, 1, 3, 3, 1)
(108, 1, 2, 3, 1)
(200, 2, 4, 3, 1)
(201, 2, 1, 3, 1)
(202, 2, 3, 3, 1)
(203, 2, 4, 3, 1)
(204, 2, 1, 3, 1)
(205, 2, 4, 3, 1)
(206, 2, 4, 3, 1)
(207, 2, 3, 3, 1)
(208, 2, 3, 3, 1)
(300, 3, 2, 3, 1)
(301, 3, 4, 3, 1)
(302, 3, 4, 3, 1)
(303, 3, 2, 3, 1)
(304, 3, 1, 3, 1)
(305, 3, 2, 3, 1)
(306, 3, 4, 3, 1)
(307, 3, 4, 3, 1)
(308, 3, 1, 3, 1)
(400, 4, 2, 3, 1)
(401, 4, 3, 3, 1)
(402, 4, 1, 3, 1)
(403, 4, 2, 3, 1)
(404, 4, 3, 3, 1)
(405, 4, 2, 3, 1)
(406, 4, 3, 3, 1)
(407, 4, 1, 3, 1)
(408, 4, 2, 3, 1)
